"english","bengali","preposition","example"
"agree to disagree",,"To agree not to argue anymore about a difference of opinion ","He likes golf and his wife likes tennis, so when it comes to sports, they have agreed to disagree."
"ahoy",,,
"aid","সাহায্য",,
"akin","সদৃশ",,
"alabaster","তৈলস্ফটিক",,
"alibi","অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি",,
"allegation","অভিযোগ",,
"allege","অভিযোগ করা",,
"allegedly","অভিযোগে",,
"allegiance","আনুগত্য",,
"alley","সরু গলি",,
"alliance","জোট",,
"ally","মিত্র",,
"altercation","ঝগড়াঝাঁটি",,
"amalgam","মিশ্রণ",,
"ambiguity","অস্পষ্টতা",,
"ambiguous","দ্ব্যর্থক",,
"amendment","সংশোধন",,
"amiable","বন্ধুসুলভ",,
"amid","মধ্যে",,
"ample","প্রশস্ত",,
"ancestral","পৈতৃক",,
"anchorage","নঙ্গর বাঁধিবার উপকরণ",,
"ankle","গোড়ালি",,
"annoy","বিরক্ত করা",,
"annulment","রদ",,
"anomalies","ব্যতিক্রমসমূহ",,
"anomaly","ব্যতিক্রম",,
"anonymity","অপ্রকাশিতনামা",,
"antagonize","প্রতিকূলতা করা",,
"anticipate","অপেক্ষা করা; কহা",,"Much-anticipated"
"apart","পাশাপাশি","apart from",
"apathy","ঔদাসীন্য",,
"aphrodisiac","কামোদ্দীপক",,
"apparatus","যন্ত্রপাতি",,
"apparel","পোশাক",,
"apparently","স্পষ্টতই",,
"appetite","ক্ষুধা",,
"applause","সাধুবাদ",,
"apprehension","চেতনা",,
"apprise","অবগত করান","apprise of","We are apprised of the sufferings and hardships of women in our society."
"apropos","এতৎ সম্পর্কে",,"That's not apropos"
"arbitration","সালিসি",,
"arduous","শ্রমসাধ্য",,
"areola","ব্রণ বা ফোড়ার চারপাশের গোলাকার লালচে জায়গা",,
"armor","বর্ম",,
"armpit","বগল",,
"arrears","বকেয়া",,
"arrestee","আটক",,
"arson","অগ্নিসংযোগ",,"arson attack"
"ask out",,"1. To ask someone to go on a date. 2. To invite someone to a social event or special occasion. 3. To invite someone to a distant location.","1. you are asking me out? 2. Bill still hasn't asked me out—maybe he doesn't have romantic feelings for me after all. 3. I'm sorry, we're busy on friday night—my boss has asked us out to the theater.4. I have asked hannah out to our new place, but she never wants to drive all the way from the city."
"aspirant","উচ্চাকাঙ্ক্ষী",,
"aspiration","শ্বাসাঘাত",,
"assailant","আততীয়",,
"assassination","গুপ্তহত্যা",,
"assault","লাঞ্ছনা",,
"assert","জাহির করা",,
"assess","পরিমাপ করা",,
"assume","অনুমান",,
"assurance","আশ্বাসন",,
"assure","নিশ্চিত করা",,
"asylum","আশ্রয়",,
"attenuate","কৃশ",,
"attorney","অ্যাটর্নি",,
"attribute","গুণ",,
"aubergine","বেগুন",,
"auburn","পিঙ্গল",,
"audacity","স্পর্ধা",,
"augment","বৃদ্ধি",,
"autocrat","একনায়ক",,
"autonomous","স্বশাসিত",,
"autopsy","ময়না",,
"autotroph",,,
"aversion","বিরাগ",,
"avert","প্রতিহত করা",,
"awe","সম্ভ্রম",,
"backdrop","ব্যাকড্রপ",,
"backlash","নেতিবাচক প্রতিক্রিয়া",,
"backwash","প্রতিক্রিয়া",,
"badly","খারাপভাবে",,
"baffling","বিভ্রান্তিকর",,
"bail","জামিন",,
"banality","তুচ্ছতা",,
"bandit","ডাকাত",,
"bankroll","টাকা যোগান",,
"barber","নাপিত",,
"bargaining","কারবারী",,
"barrage","বাঁধ",,
"barring","ছাড়া",,
"bastard","জারজ",,
"battered","ক্ষত",,
"bay","উপসাগর",,
"bead","গুটিকা",,
"bearable","সহনীয়",,
"beaver","বীবর",,
"bedridden","শয্যাশায়ী",,
"befall","ঘটা",,
"befitting","যুগোপযোগী",,
"befuddle","বেহেড করা",,
"beget","পয়দা করা",,
"begotten","প্রসূত",,
"behave","আচরণ করা",,
"belligerent","যুধ্যমান",,
"benevolent","হিতৈষী",,
"berth","নোঙ্গরস্থান",,
"bespectacled","চশমা পরা",,
"beyond","তার পরেও",,
"bid","বিদার প্রস্তাব",,
"bigamy","দুই পত্নী গ্রহণ",,
"bilateral","দ্বিপার্শ্বিক",,
"bladder",,,"I have to void my bladder"
"blanket","কম্বল",,
"blast","বিস্ফোরণ",,
"blatant","স্থূল",,"Blatant abuse of power"
"bleak","নিরানন্দ",,
"blindfold","বেপরোয়াভাবে",,
"blond","স্বর্ণকেশী",,
"bluffing","শুধু ধমকি",,
"blunder","সাঙ্ঘাতিক ভুল",,
"blunt","ভোঁতা",,
"boast","দর্প",,
"bodacious",,"very large or important, or something that people enjoy or admire","It was a bodacious concert!"
"bolster","তাকিয়া",,
"bombard","বোমা ছুড়িয়া মারা",,
"boo","ছি-ছি",,
"borne","স্থানান্তরে নীত",,
"borrow","ধার করা",,
"borrower","অধমর্ণ",,
"bosom","বক্ষ",,
"bother","মাথা ঘামান",,
"bouquet","ফুলের তোড়া",,
"bow","নম",,
"bowel","অন্ত্র",,
"brace","যুগল",,
"bravery","সাহস",,
"brawny","পেশীবহুল",,
"breach","লঙ্ঘন",,
"breather","সাময়িক বিশ্রাম",,
"breathtaking","উত্তেজনাপূর্ণ",,
"brew","ফন্দি আঁটা",,
"bribe","ঘুষ",,
"bribery","উৎকোচ গ্রহণ",,
"bridal","দাম্পত্য",,
"brim","ধারি",,
"brink","কিনারা","brink of",
"brisk","প্রাণবন্ত",,
"broker","দালাল",,
"brunt","ধকল",,
"brutal","পাশবিক",,
"bulk","বপু",,
"bully","তর্জন",,
"bum","পশ্চাদ্দেশ",,
"buoy","বয়া; বজায় রাখা; ভাসাইয়া রাখা",,
"burden","বোঝা",,
"burial","সমাধি",,
"buried","প্রোথিত",,
"burst","বিস্ফোরণ",,
"bush","গুল্ম",,
"bustling","শশব্যস্ততা",,
"buttocks","নিতম্ব",,
"cackle","প্যাঁক্ প্যাঁক্ শব্দ",,
"cakewalk","সহজ কাজ",,
"calf","বাছুর",,
"caliform",,,
"call","ডাকা","call off",
"cannabis","ভাং",,
"cannibalism","নরমাংসভক্ষণপ্রথা",,
"canny","মিতব্যয়ী",,
"canyon","গভীর খাদ",,
"capsize","উলটান",,
"captive","বন্দী",,
"captivity","বন্দিদশা",,
"caramel","দগ্ধ শর্করা",,
"caravan","ভ্রমণকারী মরূযাত্রিদল",,
"cardamom","এলাচ",,
"carpenter","সূত্রধর",,
"carry","বহা","carry away: সরান",
"cassava","কাসাভা",,
"casting","ঢালাই",,
"castration","খোজাকরণ",,
"casualty","দুর্ঘটনা",,
"catastrophe","বিপর্যয়কারী ঘটনা",,
"categorically","সুনিশ্চিতভাবে",,"Myanmar categorically denied the army's involvement in murder: মায়ানমার হত্যাকাণ্ডে সেনাবাহিনীর জড়িত থাকার বিষয়টি স্পষ্টভাবে অস্বীকার করেছে "
"cater","খাদ্যাদি পরিবেশন করা",,
"caterpillar","শুঁয়াপোকা",,
"cave","গুহা",,
"cavort","তিড়িং-তিড়িং করিয়া লাফান",,
"cease","ক্ষান্তি",,
"cemetery","কবরস্থান",,
"cereal","খাদ্যশস্য",,
"certainly","নিশ্চিত ভাবেই",,"It certainly is…"
"cetacean","তিমি-সম্বন্ধীয়",,
"chant","স্লোগান",,
"chanting",,,"Chanting slogans"
"chaos","বিশৃঙ্খলা",,
"charter","সনদ",,
"chauffeur","শোফার",,
"cheek","গাল",,
"cherish","লালিত",,
"chill","শীতলতা",,
"chop","চপ",,
"chuckle","মৃদুহাস্য",,
"chum","অন্তরঙ্গ বন্ধু",,
"cinnamon","দারুচিনি",,
"circumference","পরিধি",,
"cite","উদ্ধৃত করা",,
"civility","ভদ্রতা",,
"clampdown","শক্ত হাতে দমন",,
"clapping","হাততালি",,
"clash","সংঘর্ষ",,
"clatter","ঝনঝন শব্দ",,
"clause","দফা",,
"cleanliness","শুচিতা",,
"cleavage","বিদারণ",,
"clinical","রোগশয্যা",,
"closet","পায়খানা",,
"clown","চাষা",,
"cluster","গুচ্ছ",,
"clutches","নিষ্ঠুরতা",,
"cognitive","জ্ঞানীয়",,
"cognizance","জ্ঞান",,
"coitus","মৈথুন",,
"collagen","কোলাজেন",,
"collapse","পতন",,
"collateral","সমান্তরাল",,
"collide","ধাক্কা লাগা","collided with",
"cologne","সুগন্ধিবিশেষ",,
"colonoscopy",,,
"combating","বিরোধিতা",,
"combative","রণশীল",,
"come","আসা","come on in: ভিতরে আসো",
"commendable","প্রশংসনীয়",,
"commuter","যে ব্যক্তি পরিবহনসংস্থাদির যানবাহনে যাতায়াত করে; নিত্যযাত্রী",,
"compel","বাধ্য করা",,
"compelling","বাধ্যকারী",,
"compensate","ক্ষতিপূরণ করা",,
"compensation","ক্ষতিপূরণ",,
"complainant","বাদী",,
"complaint","অভিযোগ",,
"complementary","পরিপূরক",,
"compliant","অনুবর্তী","compliant to",
"comply","মেনে চলতে",,
"comprehensible","বোধগম্য",,
"comprehensive","ব্যাপক",,
"compromise","আপস",,"Concentration camp: রাজনৈতিক বন্দীশিবির"
"con artist",,,
"concede","স্বীকার করা",,
"conception","ধারণা",,
"conclude","শেষ করা",,
"conclusive","চূড়ান্ত",,
"concussion","আলোড়ন",,
"condemn","নিন্দা করা",,
"condescension","অনুকম্পা",,
"conducting","আবহ",,
"confer","অর্পণ করা",,
"confess","স্বীকার করা",,
"confessional","স্বীকারোক্তিমূলক",,"Confessional statement: স্বীকারোক্তিমূলক বিবৃতি "
"confidence","বিশ্বাস",,
"confidential","গোপনীয়",,
"confine","পুরা",,
"confiscate","বাজেয়াপ্ত করা",,
"confrontation","মুকাবিলা","confrontation over",
"congestion","পূর্ণতা",,
"conquest","বিজয়",,
"consent","সম্মতি",,
"consequence","ফল; পরিণতি",,
"considerable","গণ্যমান্য",,
"considerably","অনেক",,
"consigliere","আপ্তসহায়ক",,
"consignment","চালান",,
"conspiracy","চক্রান্ত",,
"conspire","চক্রান্ত",,
"constipated",,,
"constipation","কোষ্ঠকাঠিন্য",,
"consummate","সুসম্পূর্ণ",,
"contagious","সংক্রামক",,
"contained","অন্তর্ভুক্ত",,
"contaminated","কলুষিত",,
"contemplating","চিন্তা",,
"contemporary","সমসাময়িক",,
"contempt","অবজ্ঞা",,
"contemptible","নীচ",,
"content","সন্তুষ্ট",,
"contention","তর্ক",,
"contest","প্রতিযোগিতা",,
"context","প্রসঙ্গ",,"To put this in context: এ প্রসঙ্গে উল্লেখ্য"
"contextual","বর্ণনাপ্রাসঙ্গিক",,
"contraband","নিষিদ্ধ",,
"contrast","বিপরীত হত্তয়া","contrast with",
"controversial","বিতর্কমূলক",,
"controversy","বিতর্ক",,
"conundrum","প্রহেলিকা",,
"convenience","সুবিধা",,
"conventional","প্রচলিত",,
"converse","বিপরীত",,
"convict","আসামি",,
"conviction","দণ্ডাজ্ঞা",,
"convince","সন্তুষ্ট",,
"convincing",,,
"copper","তামা",,
"cops","পুলিশ",,
"cordon","বেষ্টনী",,
"corporal","শারীরিক",,"Corporal punishment: শারীরিক শাস্তি"
"corpse","মড়া",,
"correspondent","সংবাদদাতা",,
"corresponding","অনুরূপ",,
"counsel","পরামর্শ",,
"counterpart","প্রতিরুপ",,
"coup","ঘা",,
"courage","সাহস",,
"court","আদালত; অনুগ্রহ প্রার্থনা করা",,
"courtesy","শ্লীলতা",,
"coy","লাজুক",,
"cradle","শৈশবাবস্থা",,
"craft","নৈপুণ্য",,
"cram","ঠাসা",,
"crap","বিষ্ঠা",,
"crave","প্রার্থনা করা",,
"crawl","হামাগুড়ি",,
"credible","বিশ্বাসযোগ্য",,
"creep","হামাগুড়ি",,
"creepy","ছম্ছমে",,
"crimson","আরক্ত",,
"criterion","নির্ণায়ক",,
"crossroads","রাস্তা পারাপার",,
"crotch","গাছের যে স্থান থেকে ডাল বাহির হয়",,
"cruel","নিষ্ঠুর",,
"cruise","সমুদ্রভ্রমণ",,
"crunch","কড়্কড়্ শব্দ",,
"cucumber","শসা",,
"cuddle","আলিঙ্গন করা",,
"cue","সূত্র",,
"cuisine","রন্ধনপ্রণালী",,
"culminate","সর্বোচ্চ সীমা পৌঁছান",,
"culpability","নিন্দনীয়তা",,
"culprit","অভিযুক্ত ব্যক্তি",,
"cumin","জিরা",,
"curb","প্রতিবন্ধক",,
"curdle","ঘন করা",,
"curse","অভিশাপ",,
"cursory","দ্রুত",,
"custodian","জিম্মাদার",,
"custody","হেফাজত",,
"cutie pie",,"Someone who is pretty and makes you laugh and pokes you every once in a while","The girl I like is my cutie pie."
"cynical","কঠোর; মানববিদ্বেষী",,"""I have to say from the experience of the last 10 to 12 days, the russian engagement in the minsk process is rather cynical,"" british foreign secretary philip hammond said in the estonian capital tallinn."
"daunt","ভীত করা",,
"daunting","কঠিন",,
"dazzle","ঝলসানি",,
"deadlock","অচল অবস্থা",,
"deaf","বধির",,
"death toll",,,
"debt","ঋণ",,
"deceased","মৃত",,
"deceive","ছলা",,
"decent","শালীন",,
"decline","পতন",,
"deem","বিবেচনা করা",,
"defamation","মানহানি",,"The defamation case filed against the barguna uno"
"default","ডিফল্ট",,
"defeat","পরাজয়",,
"defecate","মলত্যাগ করা",,
"deficiency","অভাব",,
"deficit","ঘাটতি",,
"defile","গিরিসঙ্কট",,
"deflection","বিনিময়তা",,
"deject","মনমরা করা",,
"delegate","প্রতিনিধি",,
"delegation","প্রতিনিধিদল",,
"delight","আমোদ",,
"delinquency","কর্তব্যে অবহেলা",,
"deluge","মহাপ্লাবন",,
"demarcation","সীমানির্দেশ",,
"demo","ডেমো",,
"demography","জনসংখ্যা",,
"demonstration","প্রদর্শন; বিক্ষোভ",,
"denial","অস্বীকার",,
"deny","অস্বীকার করা",,
"depart","চরা",,
"depleting","হ্রাসকারী",,
"deplorable","শোচনীয়",,
"deportation","বিতাড়িততা",,
"depose","প্রত্যায়ন করা",,
"deprecate",,,
"depression",,,"Land depression"
"deprive","বঞ্চিত",,
"derision","উপহাস",,
"derived","উদ্ভূত",,
"derogatory","হানিকর",,
"descend","নামা",,"Flood water has already started descending in many districts"
"designate","নামকরণ করা; মনোনীত করা",,
"desire","ইচ্ছা",,
"desperate","মরিয়া",,
"desperation","হতাশা",,
"despicable","ঘৃণ্য",,
"despite","সত্ত্বেও",,
"destabilize","অস্থিতিশীল",,
"detain","আটক করা",,
"detention","আটক",,
"deteriorate","ধসা; অবনতি",,
"detonate","বিস্ফোরিত হত্তয়া",,
"devastating","বিধ্বংসী",,
"devise","উইল",,
"devour","গ্রাস করা",,"Brahmaputra continues devouring houses, land"
"diabolical","নারকীয়",,
"dictate","নির্দেশ",,
"dietary","খাদ্যতালিকাগত",,"Dietary fiber"
"dignity","সম্মান",,
"dilapidated","জীর্ণ",,
"dilemma","উভয়সঙ্কট",,
"dilettante","অপটু কর্মী",,
"dire","ভয়ানক",,
"direct","সরাসরি",,
"directorate","পরিচালকের দপ্তর",,
"disappear","অদৃশ্য",,
"disburse","নির্বাহ করা",,
"disbursement","বিতরণ",,
"discard","বাতিল",,
"disclose","প্রকাশ করা",,
"disclosure","প্রকাশ",,"She said there should be a standardised information disclosure policy"
"discontent","অসন্তোষ",,
"discreet","বিচক্ষণ",,
"discriminate","ভেদ করা",,
"discriminatory","পক্ষপাতমূলক",,
"disenchant","মোহমুক্তি করা",,
"disgrace","মর্যাদাহানি",,
"disheveled","অপরিচ্ছন্ন",,
"dismal","অন্ধকারময়",,"The bangladeshi athletes put up dismal performances in the 5th youth commonwealth games"
"dismantle","নিরাবরণ করা",,
"dispel","দুরীভূত করা",,
"disperse","অদৃশ্য করা",,
"displeasure","অপ্রসন্নতা",,
"disposal","নিষ্পত্তি",,
"dispose","মীমাংসা করা",,
"disproportionate","অনুপাতহীন",,
"dispute","বিতর্ক",,
"disrepute","দুর্নাম",,
"disrupt","চূর্ণবিচূর্ণ করা",,
"distinction","পার্থক্য",,
"distinguished","বিশিষ্ট",,
"distract","বিভ্রান্ত করা",,
"distress","মর্মপীড়া",,
"distressing","পীড়াদায়ক",,
"ditch","পরিখা",,
"divergent","বিপথগামী",,
"diversity","বৈচিত্র্য",,
"divert","সরাইয়া করা",,
"divine","ঐশ্বরিক",,
"dizzy","হতবুদ্ধি",,
"do","করা",,"Do so: তাই করো "
"dodging","লুকাচুরি",,
"dogmatic","মতবাদ-সংক্রান্ত",,
"doom","নিয়তি",,
"douche",,,
"douse","নামান",,
"downfall","সম্পূর্ণ বিনাশ",,
"downpour","প্রবল বর্ষণ",,
"downward","নিম্নাভিমুখ",,
"dowry","যৌতুক",,
"draft","খসড়া",,
"drastic","প্রচণ্ড",,
"drawing","অঙ্কন",,
"drawn","টানা",,
"droll","হাস্যরসিক",,
"drool","আবোলতাবোল বকা",,
"ducks and drakes",,"The pastime of skimming flat stones or shells along the surface of calm water","Play ducks and drakes with or make ducks and drakes of: played ducks and drakes with his money.
"
"due","কারণে",,
"dummy","পুতুল",,
"dupe","প্রতারিত ব্যক্তি",,
"duress","জবরদস্তি",,
"dusting","ঝাড়া",,
"duty-free","শুল্কমুক্ত",,
"dwellers","অধিবাসী",,
"dwindle","ক্ষীণ হত্তয়া",,
"dysfunctional","ক্রিয়াহীন",,
"earmark","পরিচায়ক চিহ্ন; নির্দিষ্ট",,
"earthy","পার্থিব",,
"ease","আরাম",,
"eatery","খাবারের দোকান",,
"eavesdropping","আড়ি",,
"echo","প্রতিধ্বনি",,
"effect","প্রভাব",,
"efficiency","দক্ষতা",,
"effigy","প্রতিকৃতি",,
"effluent","প্রবহমাণ",,
"electrocution","বিদ্যুৎপৃষ্ট; তড়িতাহত",,"Five die from electrocution in panchagarh"
"elf","পরী",,
"elude","কৌশলে এড়ান; পালান ",,
"elusive","অধরা",,
"embankment","বাঁধ",,
"embarrassing","হতবুদ্ধিকর",,
"emerge","উত্থান করা",,
"emerging","উদীয়মান",,
"emeritus","এমেরিটাস",,
"eminent","বিশিষ্ট",,
"emphasis","জোর",,
"emphatically","সজোরে",,
"en route",,"On or along the way ","1. He reads en route 2. Arrived early despite en route delays"
"enchanting","আকর্ষণীয়",,
"encompass","পরিবেষ্টন করা",,
"encroachment","সীমালঙ্ঘন",,
"endeavour","চেষ্টা",,
"enhance","বাড়ান",,
"enormous","প্রচুর",,
"enquiry","অনুসন্ধান",,
"enrage","ক্ষিপ্ত করা",,
"enroll","নথিভুক্ত করা",,
"enrollment","নিয়োগ; ভর্তি",,"1. The public universities in the country enroll students once a year. 2. The gross enrollment rose to nearly 10 per cent during the last 11 years against the backdrop of stagnant primary school enrollment for almost 30 years, reports bss."
"enthusiast","কৌতূহলী ব্যক্তি",,
"enthusiastic","উদ্যমী",,
"entomologist","পতঙ্গবিজ্ঞানী",,
"envy","দ্বেষ; ঈর্ষা",,
"epidemic","মহামারী",,
"epidemiology","মহামারী-সংক্রান্ত বিদ্যা",,
"epitome","সংক্ষিপ্তসার",,
"eradication","নির্মূল; উচ্ছেদ",,"Mosquito eradication programme: মশা নির্মূল প্রোগ্রাম"
"ergo","অতএব",,
"erode","ক্ষয় করা",,
"erosion","ক্ষয়",,"River erosion: নদী ভাঙন"
"errant","ভ্রমণরত",,
"escalate","ধাপে ধাপে বৃদ্ধি করা",,
"escalation","তীব্রতাবৃদ্ধি",,
"essence","সারাংশ",,
"ethnic humor","জাতিগত রসিকতা",,
"ethos","তত্ত্ব",,
"eunuch","নপুংসক",,
"evacuated","উদ্বাসিত",,
"evade","টালা",,
"evaluate","মূল্যায়ন",,
"evasion","ছল",,
"eventually","অবশেষে",,
"eviction","উচ্ছেদ",,
"evidence","প্রমাণ",,
"evolve","গজান",,
"excavation","খনন",,
"excessive","অত্যধিক",,
"exchequer","কোষাগার",,
"excrement","মল",,
"exemption","অব্যাহতি",,
"exhibit","প্রদর্শক",,
"exile","নির্বাসন",,"A year in exile ends tomorrow"
"exotic","বহিরাগত",,
"expatriate","নির্বাসিত করা",,
"expedite","সুবিধাযুক্ত",,
"expeditious","ত্বরিত",,
"expelled","বহিষ্কৃত",,
"exploitation","শোষণ",,
"expulsion","বিতাড়ন",,
"extortion","চাঁদাবাজি",,
"exude",,,"Probably because exude confidence."
"fabulous","কল্পিত",,
"factoid",,,
"faint","ভীরু",,
"fainter","fainter",,
"faltering","অস্বচ্ছন্দ",,
"famine","দুর্ভিক্ষ",,
"fancy","অভিনব; কাল্পনিক",,
"farcical","হাস্যকর",,
"fare","ভাড়া",,
"fatal","মারাত্মক",,
"fatality","নশ্বরতা",,"Fatality rate: মৃত্যুর হার"
"fault","দোষ",,
"fauna","প্রাণিকুল",,
"faux","ভুল",,
"fear","ভয়",,"Feared dead: মৃত্যুর আশঙ্কা করা"
"feasible","সাধ্য",,
"feat","কৃতিত্ব",,
"fellas","বন্ধুরা",,
"fellow","সহকর্মী",,
"fellowship","সহকারিতা",,
"ferocity","হিংস্রতা",,
"ferrite","চুম্বক",,
"fetish","ফেটিশ",,
"fiancee","বাগ্দত্তা",,
"fiasco","চরম ব্যর্থতা",,
"fidelity","বিশ্বস্ততা",,
"filthy","অকথ্য",,
"firm","দৃঢ়",,
"fiscal","রাজকোষ",,
"flagging","ঝিমুনি",,
"flagship","পোত-নায়কের জাহাজ",,
"flamboyance","ধুমধাম",,
"flared","উদ্দীপ্ত","flared up",
"flaw","ত্রুটি",,
"flawed","দ্বিধান্বিত",,
"flawless","নিশ্ছিদ্র",,
"flee","ভাগা",,
"fleet","বহর",,
"flip","টুসকি",,
"flirtation",,,
"flock","পাল",,
"flora","উদ্ভিদকুল","Flora and fauna: The flora and fauna of a place are its plants and animals.","1. The flora and fauna of santal life have been clearly indicated in his work and captured with passion."
"fluctuate","অস্থির হত্তয়া",,
"flummox","বিহ্বল করা",,
"flunk","কার্যবিপত্তি",,
"foil","পাত",,
"folk","লোক",,
"fondling","নেহ",,
"forged","নকল",,
"formidable","দুর্দান্ত",,
"fornicate","ব্যভিচার",,
"fountainhead","উৎস",,
"fowl","পাখি",,
"fragile","ভঙ্গুর",,
"frame","ফ্রেম",,
"fray","দাঙ্গাহাঙ্গামা",,
"freak","খামখেয়াল",,
"freaking",,,
"frighten","আতঙ্কিত",,
"frontier","সীমান্ত",,
"frustrate","হতাশ",,
"frustration","পরাজয়",,
"fugitive","পলাতক",,"Fugitive abu borhan chowdhury, chairman of everest holding and technologies ltd, was convicted in a graft case filed over misappropriation of tk 15 core from rupali bank…"
"fume","ধূম্র",,
"funeral","অন্ত্যেষ্টিক্রিয়া",,
"furry","লোমযুক্ত",,
"furthermore","তদ্ব্যতীত",,
"furtive","অলক্ষিত",,
"fury","উন্মত্ততা",,
"fuselage","বিমানপোতের কাঠাম",,
"futile","বৃথা",,
"galloping","দ্রুতগতিতে বৃদ্ধি পায় এমন",,
"gamble","জুয়া",,
"garble","বিকৃত করা",,
"garlic","রসুন",,
"gauge","হিসাব করার নিয়ম",,
"generosity","দাক্ষিণ্য",,
"genital","জনন সম্বন্ধীয়",,
"gesture","অঙ্গভঙ্গি",,
"ginger","আদা",,
"gist","সারকথা",,
"gladiator","প্রাচীন রোমের মল্লযোদ্ধা",,
"glimpse","আভাস","glimpse into","1. Europe's top central bankers who met their global peers in japan this weekend may have caught a glimpse of their own future. 2. A glimpse into the pre-modern islamic culture in bengal."
"gloom","বিষাদ",,
"glum","বিষাদগ্রস্ত",,
"gobble","গরগর শব্দ",,
"godson","ধর্মপুত্র",,
"goombah",,,
"goon","গণ্ডমূর্খ",,
"grab","দখল",,
"grace","অনুগ্রহ",,
"graft","ঘুস",,
"grapevine","দ্রাক্ষালতা",,
"grapple","কুস্তি করা",,
"grasp","উপলব্ধি",,
"gratify","বাসনা চরিতার্থ করা",,
"gratitude","কৃতজ্ঞতা",,
"grave","কবর",,
"gravest",,,"The gravest ethno-religious cleansing of recent times"
"graze","আচড়",,
"grief","বিষাদ",,
"grieving","খিদ্যমান",,
"grim","ভয়ানক",,
"groan","গভীর আর্তনাদ",,
"gross","স্থূল",,
"grouch","অসন্তোষ প্রকাশ করা",,
"grovel","পদলেহন",,
"grudge","দ্বেষ; গাত্রদাহ",,
"grunt","ঘোঁৎ ঘোঁৎ",,
"guava","পেয়ারা",,
"guilt","দোষ",,
"gusting","ঝড়ো",,"Gusting wind: ঝড়ো বাতাস"
"gut","সাহস",,
"hack","টাট্টু ঘোড়া",,"Hack to death; one hacked to death by group of men"
"hand","হাত","hands off","Hands off my sister"
"handloom","তন্তু",,
"handwoven","হাতে বুননকৃত",,
"handy","কুশলী",,
"hang","লেগে থাকা","hang on; hang out","Hang out with friends"
"hardship","কষ্ট",,
"harvest","ফসল",,
"hastily","ব্যস্তভাবে; ঝটিকা",,
"hatch","ডিম পাড়া",,
"haughty","উদ্ধত",,
"haul","টান",,
"haunted","ভুতুড়ে",,
"havoc","ব্যাপক ধ্বংস",,"Flood wreaks havoc on croplands"
"heading","শিরোনাম, অগ্রগতি","heading to: অগ্রসর হওয়া","Floods heading to heartland"
"heartland","ভূখন্ড",,"Floods heading to heartland"
"held","দখলী",,
"hellish","নারকীয়",,
"hello","হ্যালো",,
"helm","হাল",,
"herb","ঔষধি",,
"hike","ভাড়ায়","hike in: বৃদ্ধি","Gas price hike in Bangladesh remains effective"
"hilarious","অত্যধিক হাসিখুশি",,
"hindsight","সংঘটনের পরে বোধোদয়",,
"hippie-dippie",,"1. of, relating to, or reflecting the far-out styles and values of hippies 2. Uncool, due to lack of forethought.","Your hippie-dippie ideas lack a thorough understanding of reality. "
"hitherto","এ যাবৎ; এই সময় পর্যন্ত",,
